sensor_name,timestamp,x,y,z
LSM6DS3,970747,0.85,0.31,0.43
LSM6DS3,975760,0.55,0.18,0.37
LSM6DS3,980774,0.92,0.31,0.37
LSM6DS3,985787,0.67,0.24,0.43
LSM6DS3,990798,0.31,0.12,0.37
LSM6DS3,995809,0.92,0.37,0.43
LSM6DS3,1000822,1.04,0.37,0.43
LSM6DS3,1005832,0.37,0.43,0.31
LSM6DS3,1010843,0.73,0.24,0.43
LSM6DS3,1015853,0.55,0.24,0.31
LSM6DS3,1020864,0.73,0.24,0.37
LSM6DS3,1025875,0.55,0.18,0.43
LSM6DS3,1030887,0.85,0.24,0.49
LSM6DS3,1035897,1.22,0.43,0.43
LSM6DS3,1040910,0.37,0.12,0.37
LSM6DS3,1045920,0.73,0.24,0.43
LSM6DS3,1050930,0.67,0.31,0.37
LSM6DS3,1055942,1.46,0.43,0.49
LSM6DS3,1060953,0.49,0.18,0.43
LSM6DS3,1065963,0.98,0.31,0.43
LSM6DS3,1070976,0.92,0.31,0.43
LSM6DS3,1075986,0.43,0.18,0.37
LSM6DS3,1080997,0.12,0.18,0.18
LSM6DS3,1086007,0.73,0.31,0.37
LSM6DS3,1091018,1.04,0.37,0.43
LSM6DS3,1096028,0.31,0.12,0.37
LSM6DS3,1101039,0.85,0.31,0.43
LSM6DS3,1106049,0.18,0.06,0.37
LSM6DS3,1111059,0.98,0.31,0.31
LSM6DS3,1116069,0.67,0.18,0.37
LSM6DS3,1121081,0.18,0.12,0.31
LSM6DS3,1126092,0.79,0.24,0.43
LSM6DS3,1131103,0.61,0.12,0.37
LSM6DS3,1136119,0.67,0.24,0.37
LSM6DS3,1141130,0.37,0.12,0.37
LSM6DS3,1146141,0.37,0.0,0.37
LSM6DS3,1151151,0.85,0.31,0.43
LSM6DS3,1156166,0.06,0.06,0.31
LSM6DS3,1161176,0.79,0.24,0.43
LSM6DS3,1166187,0.31,0.12,0.37
LSM6DS3,1171198,0.55,0.12,0.37
LSM6DS3,1176208,0.37,0.18,0.37
LSM6DS3,1181220,1.46,0.55,0.43
LSM6DS3,1186230,0.92,0.31,0.43
LSM6DS3,1191241,-0.06,-0.06,0.43
LSM6DS3,1196255,0.79,0.18,0.43
LSM6DS3,1201268,0.92,0.37,0.43
