Timestamp,X,Y,Z
2025-03-06 14:03:18,-15.81,2.26,2.62
2025-03-06 14:03:18,17.88,-1.65,1.71
2025-03-06 14:03:18,37.48,-16.66,7.51
2025-03-06 14:03:18,52.12,-38.7,8.24
2025-03-06 14:03:19,52.86,-52.55,22.22
2025-03-06 14:03:19,325.32,-128.6,-20.94
2025-03-06 14:03:19,-41.32,-356.81,-74.1
2025-03-06 14:03:19,320.74,-298.89,-64.45
2025-03-06 14:03:19,79.96,-35.22,179.75
2025-03-06 14:03:19,18.98,-5.43,-9.16
2025-03-06 14:03:20,-29.54,25.15,-85.39
2025-03-06 14:03:20,-21.18,6.9,-109.99
2025-03-06 14:03:20,-23.25,-29.42,-22.46
2025-03-06 14:03:20,0.79,-65.12,56.76
2025-03-06 14:03:20,-112.12,-26.73,91.8
2025-03-06 14:03:21,17.94,16.36,5.8
2025-03-06 14:03:21,-41.99,40.47,8.67
2025-03-06 14:03:21,-317.2,182.25,22.83
2025-03-06 14:03:21,56.58,-211.91,32.41
2025-03-06 14:03:21,-185.85,104.49,57.07
2025-03-06 14:03:21,-106.08,161.01,-20.69
2025-03-06 14:03:21,60.24,-2.26,38.51
2025-03-06 14:03:22,-31.43,94.3,51.45
2025-03-06 14:03:22,-48.34,21.91,122.07
2025-03-06 14:03:22,-162.78,162.54,-130.43
2025-03-06 14:03:22,168.33,-214.66,49.13
2025-03-06 14:03:22,57.68,-59.57,-51.88
2025-03-06 14:03:22,-5.25,37.29,-157.71
2025-03-06 14:03:22,17.33,47.49,-149.11
2025-03-06 14:03:23,-32.47,46.08,33.08
2025-03-06 14:03:23,-60.3,31.86,53.83
2025-03-06 14:03:23,-93.75,-64.58,95.15
2025-03-06 14:03:23,-108.22,-152.1,169.86
2025-03-06 14:03:23,-100.4,66.96,-26.0
2025-03-06 14:03:23,-113.46,111.02,43.03
2025-03-06 14:03:24,7.63,-57.86,34.73
2025-03-06 14:03:24,46.57,-69.34,-1.71
2025-03-06 14:03:24,-57.56,83.25,25.76
2025-03-06 14:03:24,-15.63,16.11,16.6
2025-03-06 14:03:24,-5.86,-23.56,51.45
2025-03-06 14:03:25,-47.91,22.52,-7.32
2025-03-06 14:03:25,-45.41,-58.41,64.7
2025-03-06 14:03:25,-6.96,-65.73,78.49
2025-03-06 14:03:25,-34.61,62.5,-10.44
2025-03-06 14:03:25,-12.51,54.5,8.0
2025-03-06 14:03:25,-5.49,-2.44,61.58
2025-03-06 14:03:25,2.32,18.55,-2.99
2025-03-06 14:03:26,-23.13,44.49,-13.49
2025-03-06 14:03:26,71.66,-70.8,6.59
2025-03-06 14:03:26,134.89,-73.97,-59.2
2025-03-06 14:03:26,35.1,24.23,22.4
2025-03-06 14:03:26,72.45,33.2,-63.17
2025-03-06 14:03:26,66.47,10.38,-14.89
2025-03-06 14:03:27,-6.1,-15.38,57.13
2025-03-06 14:03:27,3.78,13.49,-83.13
2025-03-06 14:03:27,110.35,-122.92,-20.26
2025-03-06 14:03:27,35.03,-99.79,25.94
2025-03-06 14:03:27,-100.59,140.01,-9.58
2025-03-06 14:03:27,-19.04,50.35,-63.66
2025-03-06 14:03:27,30.52,-51.94,34.91
2025-03-06 14:03:28,-21.24,21.55,-20.75
2025-03-06 14:03:28,49.74,-3.11,-79.59
2025-03-06 14:03:28,94.85,-36.5,20.63
2025-03-06 14:03:28,115.36,-19.53,-93.38
2025-03-06 14:03:28,-3.11,-1.77,37.54
2025-03-06 14:03:28,71.35,-86.06,-28.2
2025-03-06 14:03:28,21.3,-3.48,13.06
2025-03-06 14:03:29,-42.18,36.32,53.47
2025-03-06 14:03:29,-9.77,-14.1,7.45
2025-03-06 14:03:29,21.79,-69.21,73.61
2025-03-06 14:03:29,-43.46,22.58,71.41
2025-03-06 14:03:29,-12.21,26.49,61.46
2025-03-06 14:03:29,-11.23,9.34,55.42
2025-03-06 14:03:29,-27.83,23.01,45.04
2025-03-06 14:03:30,-3.91,-9.89,20.69
2025-03-06 14:03:30,10.13,-16.05,13.55
2025-03-06 14:03:30,21.3,-23.56,-30.76
2025-03-06 14:03:30,-8.06,4.03,13.37
2025-03-06 14:03:30,-7.51,0.24,37.84
2025-03-06 14:03:30,-13.92,25.27,-10.8
2025-03-06 14:03:30,-15.5,15.87,-13.79
2025-03-06 14:03:30,-11.35,18.07,11.84
2025-03-06 14:03:31,-34.61,52.19,28.44
2025-03-06 14:03:31,-14.53,50.23,-22.09
2025-03-06 14:03:31,-26.31,21.61,29.6
2025-03-06 14:03:31,6.53,17.82,20.32
2025-03-06 14:03:31,-56.82,61.46,-60.55
2025-03-06 14:03:32,-15.56,-71.35,109.01
2025-03-06 14:03:32,27.34,-26.18,-17.27
2025-03-06 14:03:32,-20.14,45.23,-28.93
2025-03-06 14:03:32,-150.63,104.25,-100.22
2025-03-06 14:03:32,-0.67,-59.63,82.03
2025-03-06 14:03:32,14.22,-91.37,66.04
2025-03-06 14:03:32,-12.27,7.57,-30.21
2025-03-06 14:03:33,-59.75,86.73,-27.77
2025-03-06 14:03:33,-6.04,23.38,15.38
2025-03-06 14:03:33,31.25,-6.77,-0.98
2025-03-06 14:03:33,-0.12,16.05,-4.58
2025-03-06 14:03:33,15.56,0.67,4.64
2025-03-06 14:03:33,19.29,4.27,-4.76
2025-03-06 14:03:33,46.33,-1.59,-4.21
2025-03-06 14:03:34,67.75,-12.21,-46.94
2025-03-06 14:03:34,133.91,-22.16,-72.94
2025-03-06 14:03:34,364.32,-67.57,-69.46
2025-03-06 14:03:34,604.68,-212.77,-50.23
2025-03-06 14:03:34,282.47,-308.59,13.98
2025-03-06 14:03:34,132.93,-96.56,-41.99
2025-03-06 14:03:35,67.44,24.41,53.04
2025-03-06 14:03:35,33.26,-1.1,70.43
2025-03-06 14:03:35,-40.47,-60.06,35.34
2025-03-06 14:03:35,266.17,-206.54,-31.56
2025-03-06 14:03:35,67.63,-15.14,5.07
2025-03-06 14:03:36,-121.58,93.69,30.03
2025-03-06 14:03:36,-207.7,94.48,86.91
2025-03-06 14:03:36,484.44,-207.76,-82.95
2025-03-06 14:03:36,-8.48,67.81,-87.28
2025-03-06 14:03:36,-74.52,132.75,62.74
2025-03-06 14:03:36,-17.88,86.12,89.66
2025-03-06 14:03:36,51.88,-31.98,-34.91
2025-03-06 14:03:37,19.71,-81.6,-85.51
2025-03-06 14:03:37,-3.6,-44.68,-29.66
2025-03-06 14:03:37,-48.58,65.06,35.58
2025-03-06 14:03:37,-17.58,53.59,29.17
2025-03-06 14:03:37,14.47,-14.34,-8.18
2025-03-06 14:03:37,32.29,-37.29,-30.4
2025-03-06 14:03:37,11.9,-1.46,-16.97
2025-03-06 14:03:38,40.34,4.94,14.83
2025-03-06 14:03:38,26.18,32.04,7.32
2025-03-06 14:03:38,-31.19,65.12,70.07
2025-03-06 14:03:38,147.95,-109.31,2.38
2025-03-06 14:03:38,34.06,102.78,13.79
2025-03-06 14:03:39,-49.93,117.86,67.08
2025-03-06 14:03:39,53.22,-11.11,28.56
2025-03-06 14:03:39,50.29,-109.56,-35.83
2025-03-06 14:03:39,-3.3,19.04,-11.35
2025-03-06 14:03:39,50.42,56.27,-2.2
